"year"	"rate"
1914	1.3
1915	0.9
1916	7.7
1917	17.8
1918	17.3
1919	15.2
1920	15.6
1921	-10.9
1922	-6.2
1923	1.8
1924	0.4
1925	2.4
1926	0.9
1927	-1.9
1928	-1.2
1929	0
1930	-2.7
1931	-8.9
1932	-10.3
1933	-5.2
1934	3.5
1935	2.6
1936	1
1937	3.7
1938	-2
1939	-1.3
1940	0.7
1941	5.1
1942	10.9
1943	6
1944	1.6
1945	2.3
1946	8.5
1947	14.4
1948	7.7
1949	-1
1950	1.1
1951	7.9
1952	2.3
1953	0.8
1954	0.3
1955	-0.3
1956	1.5
1957	3.3
1958	2.7
1959	1.08
1960	1.5
1961	1.1
1962	1.2
1963	1.2
1964	1.3
1965	1.6
1966	3
1967	2.8
1968	4.3
1969	5.5
1970	5.8
1971	4.3
1972	3.3
1973	6.2
1974	11.1
1975	9.1
1976	5.7
1977	6.5
1978	7.6
1979	11.3
1980	13.5
1981	10.3
1982	6.1
1983	3.2
1984	4.3
1985	3.5
1986	1.9
1987	3.7
1988	4.1
1989	4.8
1990	5.4
1991	4.2
1992	3
1993	3
1994	2.6
1995	2.8
1996	2.9
1997	2.3
1998	1.6
1999	2.2
2000	3.4
2001	2.8
2002	1.6
2003	2.3
